cell_id;antenna_id;service
C0000251;ANT000037;B1
C0000252;ANT000038;B8
C0000253;ANT000038;B3
C0000254;ANT000038;B20
C0000255;ANT000038;N1
C0000256;ANT000038;B1
C0000257;ANT000039;B8
C0000258;ANT000039;B3
C0000259;ANT000039;B20
C0000260;ANT000039;N1
C0000261;ANT000039;B1
C0000262;ANT000040;B3
C0000263;ANT000040;B20
C0000264;ANT000040;N28
C0000265;ANT000040;N1
C0000266;ANT000040;B1
C0000267;ANT000040;N78
C0000268;ANT000041;B3
C0000269;ANT000041;B20
C0000270;ANT000041;N28
C0000271;ANT000041;N1
C0000272;ANT000041;B1
C0000273;ANT000041;N78
C0000274;ANT000042;B3
C0000275;ANT000042;B20
C0000276;ANT000042;N28
C0000277;ANT000042;N1
C0000278;ANT000042;B1
C0000279;ANT000042;N78
C0000280;ANT000043;B3
C0000281;ANT000043;B20
C0000282;ANT000043;N28
C0000283;ANT000043;N1
C0000284;ANT000043;B1
C0000285;ANT000043;N78
C0000286;ANT000044;B3
C0000287;ANT000044;B20
C0000288;ANT000044;N28
C0000289;ANT000044;N1
C0000290;ANT000044;B1
C0000291;ANT000044;N78
C0000292;ANT000045;B3
C0000293;ANT000045;B20
C0000294;ANT000045;N28
C0000295;ANT000045;N1
C0000296;ANT000045;B1
C0000297;ANT000045;N78
C0000298;ANT000046;GSM900
C0000299;ANT000046;B3
C0000300;ANT000046;B20
C0000301;ANT000046;N1
C0000302;ANT000046;N78
C0000303;ANT000047;GSM900
C0000304;ANT000047;B3
C0000305;ANT000047;B20
C0000306;ANT000047;N1
C0000307;ANT000047;N78
C0000308;ANT000048;GSM900
C0000309;ANT000048;B3
C0000310;ANT000048;B20
C0000311;ANT000048;N1
C0000312;ANT000048;N78
C0000313;ANT000049;GSM900
C0000314;ANT000049;B3
C0000315;ANT000049;B8
C0000316;ANT000049;B7
C0000317;ANT000049;B32
C0000318;ANT000049;N28
C0000319;ANT000049;B1
C0000320;ANT000049;N78
C0000321;ANT000050;GSM900
C0000322;ANT000050;B3
C0000323;ANT000050;B8
C0000324;ANT000050;B7
C0000325;ANT000050;B32
C0000326;ANT000050;N28
C0000327;ANT000050;B1
C0000328;ANT000050;N78
C0000329;ANT000051;GSM900
C0000330;ANT000051;B3
C0000331;ANT000051;B8
C0000332;ANT000051;B7
C0000333;ANT000051;B32
C0000334;ANT000051;N28
C0000335;ANT000051;B1
C0000336;ANT000051;N78
C0000337;ANT000052;GSM900
C0000338;ANT000052;B3
C0000339;ANT000052;B8
C0000340;ANT000052;B7
C0000341;ANT000052;B32
C0000342;ANT000052;N28
C0000343;ANT000052;B1
C0000344;ANT000052;N78
C0000345;ANT000053;GSM900
C0000346;ANT000053;B3
C0000347;ANT000053;B8
C0000348;ANT000053;B7
C0000349;ANT000053;B32
C0000350;ANT000053;N28
C0000351;ANT000053;B1
C0000352;ANT000053;N78
C0000353;ANT000054;GSM900
C0000354;ANT000054;B3
C0000355;ANT000054;B8
C0000356;ANT000054;B7
C0000357;ANT000054;B32
C0000358;ANT000054;N28
C0000359;ANT000054;B1
C0000360;ANT000054;N78
C0000361;ANT000055;GSM900
C0000362;ANT000055;B3
C0000363;ANT000055;B8
C0000364;ANT000055;B7
C0000365;ANT000055;B32
C0000366;ANT000055;N28
C0000367;ANT000055;B1
C0000368;ANT000055;N78
C0000369;ANT000056;GSM900
C0000370;ANT000056;B3
C0000371;ANT000056;B8
C0000372;ANT000056;B7
C0000373;ANT000056;B32
C0000374;ANT000056;N28
C0000375;ANT000056;B1
C0000376;ANT000056;N78
C0000377;ANT000057;GSM900
C0000378;ANT000057;B3
C0000379;ANT000057;B8
C0000380;ANT000057;B7
C0000381;ANT000057;B32
C0000382;ANT000057;N28
C0000383;ANT000057;B1
C0000384;ANT000057;N78
C0000385;ANT000058;GSM900
C0000386;ANT000058;B8
C0000387;ANT000058;B3
C0000388;ANT000058;B32
C0000389;ANT000058;B7
C0000390;ANT000058;B20
C0000391;ANT000058;N1
C0000392;ANT000058;N78
C0000393;ANT000059;GSM900
C0000394;ANT000059;B8
C0000395;ANT000059;B3
C0000396;ANT000059;B32
C0000397;ANT000059;B7
C0000398;ANT000059;B20
C0000399;ANT000059;N1
C0000400;ANT000059;N78
C0000401;ANT000060;GSM900
C0000402;ANT000060;B8
C0000403;ANT000060;B3
C0000404;ANT000060;B32
C0000405;ANT000060;B7
C0000406;ANT000060;B20
C0000407;ANT000060;N1
C0000408;ANT000060;N78
C0000409;ANT000061;B3
C0000410;ANT000061;B8
C0000411;ANT000061;B32
C0000412;ANT000062;B3
C0000413;ANT000062;B8
C0000414;ANT000062;B32
C0000415;ANT000063;B3
C0000416;ANT000063;B8
C0000417;ANT000063;B32
C0000418;ANT000064;B3
C0000419;ANT000064;B8
C0000420;ANT000064;B32
C0000421;ANT000065;B3
C0000422;ANT000065;B8
C0000423;ANT000065;B32
C0000424;ANT000066;B3
C0000425;ANT000066;B8
C0000426;ANT000066;B32
C0000427;ANT000067;B3
C0000428;ANT000067;B32
C0000429;ANT000067;B8
C0000430;ANT000067;B7
C0000431;ANT000067;B20
C0000432;ANT000067;N28
C0000433;ANT000067;N1
C0000434;ANT000067;N78
C0000435;ANT000068;B3
C0000436;ANT000068;B32
C0000437;ANT000068;B8
C0000438;ANT000068;B7
C0000439;ANT000068;B20
C0000440;ANT000068;N28
C0000441;ANT000068;N1
C0000442;ANT000068;N78
C0000443;ANT000069;B3
C0000444;ANT000069;B32
C0000445;ANT000069;B8
C0000446;ANT000069;B7
C0000447;ANT000069;B20
C0000448;ANT000069;N28
C0000449;ANT000069;N1
C0000450;ANT000069;N78
C0000451;ANT000070;B20
C0000452;ANT000070;B1
C0000453;ANT000070;B3
C0000454;ANT000070;B32
C0000455;ANT000071;B20
C0000456;ANT000071;B1
C0000457;ANT000071;B3
C0000458;ANT000071;B32
C0000459;ANT000072;B20
C0000460;ANT000072;B1
C0000461;ANT000072;B3
C0000462;ANT000072;B32
C0000463;ANT000073;B8
C0000464;ANT000073;B32
C0000465;ANT000073;B3
C0000466;ANT000073;B7
C0000467;ANT000073;B20
C0000468;ANT000073;N28
C0000469;ANT000073;B1
C0000470;ANT000073;N78
C0000471;ANT000074;B8
C0000472;ANT000074;B32
C0000473;ANT000074;B3
C0000474;ANT000074;B7
C0000475;ANT000074;B20
C0000476;ANT000074;N28
C0000477;ANT000074;B1
C0000478;ANT000074;N78
C0000479;ANT000075;B8
C0000480;ANT000075;B32
C0000481;ANT000075;B3
C0000482;ANT000075;B7
C0000483;ANT000075;B20
C0000484;ANT000075;N28
C0000485;ANT000075;B1
C0000486;ANT000075;N78
C0000487;ANT000076;GSM900
C0000488;ANT000076;B3
C0000489;ANT000076;B32
C0000490;ANT000076;B20
C0000491;ANT000076;N28
C0000492;ANT000076;N1
C0000493;ANT000077;GSM900
C0000494;ANT000077;B3
C0000495;ANT000077;B32
C0000496;ANT000077;B20
C0000497;ANT000077;N28
C0000498;ANT000077;N1
C0000499;ANT000078;GSM900
C0000500;ANT000078;B3
C0000501;ANT000078;B32
C0000502;ANT000078;B20
C0000503;ANT000078;N28
C0000504;ANT000078;N1
C0000505;ANT000079;GSM900
C0000506;ANT000079;B3
C0000507;ANT000079;B32
C0000508;ANT000079;B20
C0000509;ANT000079;N28
C0000510;ANT000079;N1
C0000511;ANT000080;GSM900
C0000512;ANT000080;B3
C0000513;ANT000080;B32
C0000514;ANT000080;B20
C0000515;ANT000080;N28
C0000516;ANT000080;N1
C0000517;ANT000081;GSM900
C0000518;ANT000081;B3
C0000519;ANT000081;B32
C0000520;ANT000081;B20
C0000521;ANT000081;N28
C0000522;ANT000081;N1
C0000523;ANT000082;N28
C0000524;ANT000082;B3
C0000525;ANT000082;B32
C0000526;ANT000083;N28
C0000527;ANT000083;B3
C0000528;ANT000083;B32
C0000529;ANT000084;N28
C0000530;ANT000084;B3
C0000531;ANT000084;B32
C0000532;ANT000085;B8
C0000533;ANT000085;B7
C0000534;ANT000085;B32
C0000535;ANT000085;B20
C0000536;ANT000085;N28
C0000537;ANT000085;N1
C0000538;ANT000086;B8
C0000539;ANT000086;B7
C0000540;ANT000086;B32
C0000541;ANT000086;B20
C0000542;ANT000086;N28
C0000543;ANT000086;N1
C0000544;ANT000087;B8
C0000545;ANT000087;B7
C0000546;ANT000087;B32
C0000547;ANT000087;B20
C0000548;ANT000087;N28
C0000549;ANT000087;N1
C0000550;ANT000088;B1
C0000551;ANT000088;B3
C0000552;ANT000088;B8
C0000553;ANT000088;N78
C0000554;ANT000089;B1
C0000555;ANT000089;B3
C0000556;ANT000089;B8
C0000557;ANT000089;N78
C0000558;ANT000090;B1
C0000559;ANT000090;B3
C0000560;ANT000090;B8
C0000561;ANT000090;N78
C0000562;ANT000091;B1
C0000563;ANT000091;B3
C0000564;ANT000091;B8
C0000565;ANT000091;N78
C0000566;ANT000092;B1
C0000567;ANT000092;B3
C0000568;ANT000092;B8
C0000569;ANT000092;N78
C0000570;ANT000093;B1
C0000571;ANT000093;B3
C0000572;ANT000093;B8
C0000573;ANT000093;N78
C0000574;ANT000094;B1
C0000575;ANT000094;B3
C0000576;ANT000094;B8
C0000577;ANT000094;N78
C0000578;ANT000095;B1
C0000579;ANT000095;B3
C0000580;ANT000095;B8
C0000581;ANT000095;N78
C0000582;ANT000096;B1
C0000583;ANT000096;B3
C0000584;ANT000096;B8
C0000585;ANT000096;N78
C0000586;ANT000097;GSM900
C0000587;ANT000097;B8
C0000588;ANT000097;B3
C0000589;ANT000097;B7
C0000590;ANT000097;B32
C0000591;ANT000097;B20
C0000592;ANT000097;N28
C0000593;ANT000097;N1
C0000594;ANT000097;B1
C0000595;ANT000098;GSM900
C0000596;ANT000098;B8
C0000597;ANT000098;B3
C0000598;ANT000098;B7
C0000599;ANT000098;B32
C0000600;ANT000098;B20
C0000601;ANT000098;N28
C0000602;ANT000098;N1
C0000603;ANT000098;B1
C0000604;ANT000099;GSM900
C0000605;ANT000099;B8
C0000606;ANT000099;B3
C0000607;ANT000099;B7
C0000608;ANT000099;B32
C0000609;ANT000099;B20
C0000610;ANT000099;N28
C0000611;ANT000099;N1
C0000612;ANT000099;B1
C0000613;ANT000100;B3
C0000614;ANT000100;B7
C0000615;ANT000100;B8
C0000616;ANT000100;B20
C0000617;ANT000100;N28
C0000618;ANT000100;N1
C0000619;ANT000100;B1
C0000620;ANT000101;B3
C0000621;ANT000101;B7
C0000622;ANT000101;B8
C0000623;ANT000101;B20
C0000624;ANT000101;N28
C0000625;ANT000101;N1
C0000626;ANT000101;B1
C0000627;ANT000102;B3
C0000628;ANT000102;B7
C0000629;ANT000102;B8
C0000630;ANT000102;B20
C0000631;ANT000102;N28
C0000632;ANT000102;N1
C0000633;ANT000102;B1
C0000634;ANT000103;B3
C0000635;ANT000103;B7
C0000636;ANT000103;B8
C0000637;ANT000103;B20
C0000638;ANT000103;N28
C0000639;ANT000103;N1
C0000640;ANT000103;B1
C0000641;ANT000104;B3
C0000642;ANT000104;B7
C0000643;ANT000104;B8
C0000644;ANT000104;B20
C0000645;ANT000104;N28
C0000646;ANT000104;N1
C0000647;ANT000104;B1
C0000648;ANT000105;B3
C0000649;ANT000105;B7
C0000650;ANT000105;B8
C0000651;ANT000105;B20
C0000652;ANT000105;N28
C0000653;ANT000105;N1
C0000654;ANT000105;B1
C0000655;ANT000106;B3
C0000656;ANT000106;B32
C0000657;ANT000106;B7
C0000658;ANT000106;B8
C0000659;ANT000106;N28
C0000660;ANT000106;N1
C0000661;ANT000106;B1
C0000662;ANT000106;N78
C0000663;ANT000107;B3
C0000664;ANT000107;B32
C0000665;ANT000107;B7
C0000666;ANT000107;B8
C0000667;ANT000107;N28
C0000668;ANT000107;N1
C0000669;ANT000107;B1
C0000670;ANT000107;N78
C0000671;ANT000108;B3
C0000672;ANT000108;B32
C0000673;ANT000108;B7
C0000674;ANT000108;B8
C0000675;ANT000108;N28
C0000676;ANT000108;N1
C0000677;ANT000108;B1
C0000678;ANT000108;N78
C0000679;ANT000109;B3
C0000680;ANT000109;B32
C0000681;ANT000109;B7
C0000682;ANT000109;B8
C0000683;ANT000109;N28
C0000684;ANT000109;N1
C0000685;ANT000109;B1
C0000686;ANT000109;N78
C0000687;ANT000110;B3
C0000688;ANT000110;B32
C0000689;ANT000110;B7
C0000690;ANT000110;B8
C0000691;ANT000110;N28
C0000692;ANT000110;N1
C0000693;ANT000110;B1
C0000694;ANT000110;N78
C0000695;ANT000111;B3
C0000696;ANT000111;B32
C0000697;ANT000111;B7
C0000698;ANT000111;B8
C0000699;ANT000111;N28
C0000700;ANT000111;N1
C0000701;ANT000111;B1
C0000702;ANT000111;N78
C0000703;ANT000112;N28
C0000704;ANT000112;B1
C0000705;ANT000112;B3
C0000706;ANT000112;B7
C0000707;ANT000113;N28
C0000708;ANT000113;B1
C0000709;ANT000113;B3
C0000710;ANT000113;B7
C0000711;ANT000114;N28
C0000712;ANT000114;B1
C0000713;ANT000114;B3
C0000714;ANT000114;B7
C0000715;ANT000115;GSM900
C0000716;ANT000115;B3
C0000717;ANT000115;B8
C0000718;ANT000115;B20
C0000719;ANT000115;N28
C0000720;ANT000115;N1
C0000721;ANT000115;N78
C0000722;ANT000116;GSM900
C0000723;ANT000116;B3
C0000724;ANT000116;B8
C0000725;ANT000116;B20
C0000726;ANT000116;N28
C0000727;ANT000116;N1
C0000728;ANT000116;N78
C0000729;ANT000117;GSM900
C0000730;ANT000117;B3
C0000731;ANT000117;B8
C0000732;ANT000117;B20
C0000733;ANT000117;N28
C0000734;ANT000117;N1
C0000735;ANT000117;N78
C0000736;ANT000118;GSM900
C0000737;ANT000118;B3
C0000738;ANT000118;B8
C0000739;ANT000118;B20
C0000740;ANT000118;N28
C0000741;ANT000118;N1
C0000742;ANT000118;N78
C0000743;ANT000119;GSM900
C0000744;ANT000119;B3
C0000745;ANT000119;B8
C0000746;ANT000119;B20
C0000747;ANT000119;N28
C0000748;ANT000119;N1
C0000749;ANT000119;N78
C0000750;ANT000120;GSM900
C0000751;ANT000120;B3
C0000752;ANT000120;B8
C0000753;ANT000120;B20
C0000754;ANT000120;N28
C0000755;ANT000120;N1
C0000756;ANT000120;N78
C0000757;ANT000121;GSM900
C0000758;ANT000121;B8
C0000759;ANT000121;B32
C0000760;ANT000121;B3
C0000761;ANT000121;B7
C0000762;ANT000121;B20
C0000763;ANT000121;N28
C0000764;ANT000121;N1
C0000765;ANT000121;B1
C0000766;ANT000121;N78
C0000767;ANT000122;GSM900
C0000768;ANT000122;B8
C0000769;ANT000122;B32
C0000770;ANT000122;B3
C0000771;ANT000122;B7
C0000772;ANT000122;B20
C0000773;ANT000122;N28
C0000774;ANT000122;N1
C0000775;ANT000122;B1
C0000776;ANT000122;N78
C0000777;ANT000123;GSM900
C0000778;ANT000123;B8
C0000779;ANT000123;B32
C0000780;ANT000123;B3
C0000781;ANT000123;B7
C0000782;ANT000123;B20
C0000783;ANT000123;N28
C0000784;ANT000123;N1
C0000785;ANT000123;B1
C0000786;ANT000123;N78
C0000787;ANT000124;GSM900
C0000788;ANT000124;B8
C0000789;ANT000124;B32
C0000790;ANT000124;B3
C0000791;ANT000124;B7
C0000792;ANT000124;B20
C0000793;ANT000124;N28
C0000794;ANT000124;N1
C0000795;ANT000124;B1
C0000796;ANT000124;N78
C0000797;ANT000125;GSM900
C0000798;ANT000125;B8
C0000799;ANT000125;B32
C0000800;ANT000125;B3
C0000801;ANT000125;B7
C0000802;ANT000125;B20
C0000803;ANT000125;N28
C0000804;ANT000125;N1
C0000805;ANT000125;B1
C0000806;ANT000125;N78
C0000807;ANT000126;GSM900
C0000808;ANT000126;B8
C0000809;ANT000126;B32
C0000810;ANT000126;B3
C0000811;ANT000126;B7
C0000812;ANT000126;B20
C0000813;ANT000126;N28
C0000814;ANT000126;N1
C0000815;ANT000126;B1
C0000816;ANT000126;N78
C0000817;ANT000127;N1
C0000818;ANT000127;B20
C0000819;ANT000127;B8
C0000820;ANT000128;N1
C0000821;ANT000128;B20
C0000822;ANT000128;B8
C0000823;ANT000129;N1
C0000824;ANT000129;B20
C0000825;ANT000129;B8
C0000826;ANT000130;B20
C0000827;ANT000130;B1
C0000828;ANT000130;B8
C0000829;ANT000130;N78
C0000830;ANT000131;B20
C0000831;ANT000131;B1
C0000832;ANT000131;B8
C0000833;ANT000131;N78
C0000834;ANT000132;B20
C0000835;ANT000132;B1
C0000836;ANT000132;B8
C0000837;ANT000132;N78
C0000838;ANT000133;B20
C0000839;ANT000133;B1
C0000840;ANT000133;B8
C0000841;ANT000133;N78
C0000842;ANT000134;B20
C0000843;ANT000134;B1
C0000844;ANT000134;B8
C0000845;ANT000134;N78
C0000846;ANT000135;B20
C0000847;ANT000135;B1
C0000848;ANT000135;B8
C0000849;ANT000135;N78
C0000850;ANT000136;N1
C0000851;ANT000136;N28
C0000852;ANT000136;B8
C0000853;ANT000136;B32
C0000854;ANT000137;N1
C0000855;ANT000137;N28
C0000856;ANT000137;B8
C0000857;ANT000137;B32
C0000858;ANT000138;N1
C0000859;ANT000138;N28
C0000860;ANT000138;B8
C0000861;ANT000138;B32
C0000862;ANT000139;N1
C0000863;ANT000139;N28
C0000864;ANT000139;B8
C0000865;ANT000139;B32
C0000866;ANT000140;N1
C0000867;ANT000140;N28
C0000868;ANT000140;B8
C0000869;ANT000140;B32
C0000870;ANT000141;N1
C0000871;ANT000141;N28
C0000872;ANT000141;B8
C0000873;ANT000141;B32
C0000874;ANT000142;N1
C0000875;ANT000142;N28
C0000876;ANT000142;B8
C0000877;ANT000142;B32
C0000878;ANT000143;N1
C0000879;ANT000143;N28
C0000880;ANT000143;B8
C0000881;ANT000143;B32
C0000882;ANT000144;N1
C0000883;ANT000144;N28
C0000884;ANT000144;B8
C0000885;ANT000144;B32
C0000886;ANT000145;GSM900
C0000887;ANT000145;B3
C0000888;ANT000145;B8
C0000889;ANT000145;B7
C0000890;ANT000145;B32
C0000891;ANT000145;B20
C0000892;ANT000145;N28
C0000893;ANT000145;B1
C0000894;ANT000145;N78
C0000895;ANT000146;GSM900
C0000896;ANT000146;B3
C0000897;ANT000146;B8
C0000898;ANT000146;B7
C0000899;ANT000146;B32
C0000900;ANT000146;B20
C0000901;ANT000146;N28
C0000902;ANT000146;B1
C0000903;ANT000146;N78
C0000904;ANT000147;GSM900
C0000905;ANT000147;B3
C0000906;ANT000147;B8
C0000907;ANT000147;B7
C0000908;ANT000147;B32
C0000909;ANT000147;B20
C0000910;ANT000147;N28
C0000911;ANT000147;B1
C0000912;ANT000147;N78
C0000913;ANT000148;GSM900
C0000914;ANT000148;B3
C0000915;ANT000148;B8
C0000916;ANT000148;B7
C0000917;ANT000148;B32
C0000918;ANT000148;B20
C0000919;ANT000148;N28
C0000920;ANT000148;B1
C0000921;ANT000148;N78
C0000922;ANT000149;GSM900
C0000923;ANT000149;B3
C0000924;ANT000149;B8
C0000925;ANT000149;B7
C0000926;ANT000149;B32
C0000927;ANT000149;B20
C0000928;ANT000149;N28
C0000929;ANT000149;B1
C0000930;ANT000149;N78
C0000931;ANT000150;GSM900
C0000932;ANT000150;B3
C0000933;ANT000150;B8
C0000934;ANT000150;B7
C0000935;ANT000150;B32
C0000936;ANT000150;B20
C0000937;ANT000150;N28
C0000938;ANT000150;B1
C0000939;ANT000150;N78
C0000940;ANT000151;GSM900
C0000941;ANT000151;B3
C0000942;ANT000151;B8
C0000943;ANT000151;B7
C0000944;ANT000151;B32
C0000945;ANT000151;B20
C0000946;ANT000151;N28
C0000947;ANT000151;B1
C0000948;ANT000151;N78
C0000949;ANT000152;GSM900
C0000950;ANT000152;B3
C0000951;ANT000152;B8
C0000952;ANT000152;B7
C0000953;ANT000152;B32
C0000954;ANT000152;B20
C0000955;ANT000152;N28
C0000956;ANT000152;B1
C0000957;ANT000152;N78
C0000958;ANT000153;GSM900
C0000959;ANT000153;B3
C0000960;ANT000153;B8
C0000961;ANT000153;B7
C0000962;ANT000153;B32
C0000963;ANT000153;B20
C0000964;ANT000153;N28
C0000965;ANT000153;B1
C0000966;ANT000153;N78
C0000967;ANT000154;GSM900
C0000968;ANT000154;B3
C0000969;ANT000154;B8
C0000970;ANT000154;B7
C0000971;ANT000154;B32
C0000972;ANT000154;B20
C0000973;ANT000154;N28
C0000974;ANT000154;B1
C0000975;ANT000154;N78
C0000976;ANT000155;GSM900
C0000977;ANT000155;B3
C0000978;ANT000155;B8
C0000979;ANT000155;B7
C0000980;ANT000155;B32
C0000981;ANT000155;B20
C0000982;ANT000155;N28
C0000983;ANT000155;B1
C0000984;ANT000155;N78
C0000985;ANT000156;GSM900
C0000986;ANT000156;B3
C0000987;ANT000156;B8
C0000988;ANT000156;B7
